Opportunity Number,Supplies Group,Supplies Subgroup,Region,Route To Market,Elapsed Days In Sales Stage,Opportunity Result,Sales Stage Change Count,Total Days Identified Through Closing,Total Days Identified Through Qualified,Opportunity Amount USD,Client Size By Revenue (USD),Client Size By Employee Count,Revenue From Client Past Two Years (USD),Competitor Type,Ratio Days Identified To Total Days,Ratio Days Validated To Total Days,Ratio Days Qualified To Total Days,Deal Size Category (USD)
1724032,Car Electronics,Car Electronics,Southwest,Fields Sales,210,Won,5,94,90,469000,100K or less,1K or less,0 (No business),,0.073248,0.839703,0.04034,50K to 60K
1724032,Car Electronics,Car Electronics,Southwest,Fields Sales,210,Won,5,94,90,469000,100K or less,1K or less,0 (No business),,0.073248,0.839703,0.04034,50K to 60K
5970247,Performance & Non-auto,Motorcycle Parts,Pacific,Fields Sales,36,Won,4,11,11,65000,500K to 1M,1K or less,"25,000 - 50,000",Unknown,0.0,1.0,0.0,30K to 40K
5970247,Performance & Non-auto,Motorcycle Parts,Pacific,Fields Sales,36,Won,4,11,11,65000,500K to 1M,1K or less,"25,000 - 50,000",Unknown,0.0,1.0,0.0,30K to 40K
6275830,Car Accessories,Garage & Car Care,Southeast,Reseller,89,Loss,3,24,24,250000,More than 1M,15K to 25K,0 (No business),Unknown,0.453782,0.0,0.546218,50K to 60K
6275830,Car Accessories,Garage & Car Care,Southeast,Reseller,89,Loss,3,24,24,250000,More than 1M,15K to 25K,0 (No business),Unknown,0.453782,0.0,0.546218,50K to 60K
6321949,Car Accessories,Replacement Parts,Pacific,Other,46,Won,2,0,0,26874,100K or less,1K or less,0 (No business),Unknown,0.0,0.0,0.0,20K to 30K
6321949,Car Accessories,Replacement Parts,Pacific,Other,46,Won,2,0,0,26874,100K or less,1K or less,0 (No business),Unknown,0.0,0.0,0.0,20K to 30K
6321964,Car Accessories,Replacement Parts,Pacific,Fields Sales,83,Won,3,0,0,41724,250K to 500K,More than 25K,0 (No business),,0.0,0.0,0.0,20K to 30K
6321964,Car Accessories,Replacement Parts,Pacific,Fields Sales,83,Won,3,0,0,41724,250K to 500K,More than 25K,0 (No business),,0.0,0.0,0.0,20K to 30K
6359058,Car Accessories,Batteries & Accessories,Pacific,Fields Sales,86,Loss,3,24,24,300000,100K or less,1K or less,0 (No business),Known,0.012766,0.987234,0.0,50K to 60K
6359058,Car Accessories,Batteries & Accessories,Pacific,Fields Sales,86,Loss,3,24,24,300000,100K or less,1K or less,0 (No business),Known,0.012766,0.987234,0.0,50K to 60K
6386902,Car Accessories,Replacement Parts,Pacific,Fields Sales,109,Won,1,0,0,86,100K to 250K,1K or less,0 (No business),Unknown,0.0,0.0,0.0,10K or less
6386902,Car Accessories,Replacement Parts,Pacific,Fields Sales,109,Won,1,0,0,86,100K to 250K,1K or less,0 (No business),Unknown,0.0,0.0,0.0,10K or less
6460332,Performance & Non-auto,Performance Parts,Pacific,Fields Sales,81,Loss,2,25,25,200000,500K to 1M,More than 25K,"0 - 25,000",Unknown,0.0,1.0,0.0,40K to 50K
6460332,Performance & Non-auto,Performance Parts,Pacific,Fields Sales,81,Loss,2,25,25,200000,500K to 1M,More than 25K,"0 - 25,000",Unknown,0.0,1.0,0.0,40K to 50K
6704540,Car Accessories,Exterior Accessories,Northwest,Fields Sales,16,Loss,2,79,79,0,100K or less,1K or less,0 (No business),Known,0.0,1.0,0.0,10K or less
6704540,Car Accessories,Exterior Accessories,Northwest,Fields Sales,16,Loss,2,79,79,0,100K or less,1K or less,0 (No business),Known,0.0,1.0,0.0,10K or less
6704540,Car Accessories,Exterior Accessories,Northwest,Fields Sales,16,Loss,2,79,79,0,100K or less,1K or less,0 (No business),Known,0.0,1.0,0.0,10K or less
6801542,Car Accessories,Batteries & Accessories,Pacific,Fields Sales,81,Won,2,10,10,25000,100K to 250K,1K or less,"25,000 - 50,000",Unknown,0.0,0.0,1.0,20K to 30K
6801542,Car Accessories,Batteries & Accessories,Pacific,Fields Sales,81,Won,2,10,10,25000,100K to 250K,1K or less,"25,000 - 50,000",Unknown,0.0,0.0,1.0,20K to 30K
6824479,Car Electronics,Car Electronics,Southwest,Fields Sales,90,Loss,1,0,0,0,100K or less,1K or less,0 (No business),Unknown,0.0,0.0,0.0,10K or less
6824479,Car Electronics,Car Electronics,Southwest,Fields Sales,90,Loss,1,0,0,0,100K or less,1K or less,0 (No business),Unknown,0.0,0.0,0.0,10K or less
6827983,Car Accessories,Batteries & Accessories,Mid-Atlantic,Fields Sales,90,Loss,1,0,0,0,100K or less,1K or less,0 (No business),Unknown,0.0,0.0,0.0,10K or less
6827983,Car Accessories,Batteries & Accessories,Mid-Atlantic,Fields Sales,90,Loss,1,0,0,0,100K or less,1K or less,0 (No business),Unknown,0.0,0.0,0.0,10K or less
6835486,Car Accessories,Replacement Parts,Pacific,Fields Sales,90,Loss,2,0,0,52593,100K or less,More than 25K,0 (No business),Unknown,0.0,0.0,0.0,30K to 40K
6835486,Car Accessories,Replacement Parts,Pacific,Fields Sales,90,Loss,2,0,0,52593,100K or less,More than 25K,0 (No business),Unknown,0.0,0.0,0.0,30K to 40K
6914726,Performance & Non-auto,Shelters & RV,Midwest,Fields Sales,57,Loss,2,30,30,100000,More than 1M,15K to 25K,0 (No business),Unknown,1.0,0.0,0.0,40K to 50K
6914726,Performance & Non-auto,Shelters & RV,Midwest,Fields Sales,57,Loss,2,30,30,100000,More than 1M,15K to 25K,0 (No business),Unknown,1.0,0.0,0.0,40K to 50K
7055542,Performance & Non-auto,Motorcycle Parts,Northeast,Fields Sales,54,Won,4,13,13,29500,100K or less,1K or less,"50,000 - 100,000",Unknown,0.843284,0.156716,0.0,20K to 30K
7055542,Performance & Non-auto,Motorcycle Parts,Northeast,Fields Sales,54,Won,4,13,13,29500,100K or less,1K or less,"50,000 - 100,000",Unknown,0.843284,0.156716,0.0,20K to 30K
7132720,Car Accessories,Batteries & Accessories,Midwest,Other,45,Loss,3,34,34,600000,100K or less,1K or less,0 (No business),Unknown,0.276471,0.723529,0.0,More than 60K
7132720,Car Accessories,Batteries & Accessories,Midwest,Other,45,Loss,3,34,34,600000,100K or less,1K or less,0 (No business),Unknown,0.276471,0.723529,0.0,More than 60K
7204863,Car Accessories,Batteries & Accessories,Southeast,Reseller,76,Loss,1,0,0,50000,100K or less,1K to 5K,0 (No business),Unknown,0.0,0.0,0.0,30K to 40K
7204863,Car Accessories,Batteries & Accessories,Southeast,Reseller,76,Loss,1,0,0,50000,100K or less,1K to 5K,0 (No business),Unknown,0.0,0.0,0.0,30K to 40K
7387626,Car Accessories,Interior Accessories,Southwest,Fields Sales,66,Loss,2,4,4,20000,250K to 500K,1K or less,0 (No business),Unknown,1.0,0.0,0.0,10K to 20K
7387626,Car Accessories,Interior Accessories,Southwest,Fields Sales,66,Loss,2,4,4,20000,250K to 500K,1K or less,0 (No business),Unknown,1.0,0.0,0.0,10K to 20K
7405827,Car Accessories,Replacement Parts,Pacific,Fields Sales,68,Won,1,0,0,16548,More than 1M,1K or less,"More than 100,000",Unknown,0.0,0.0,0.0,10K to 20K
7405827,Car Accessories,Replacement Parts,Pacific,Fields Sales,68,Won,1,0,0,16548,More than 1M,1K or less,"More than 100,000",Unknown,0.0,0.0,0.0,10K to 20K
7405835,Car Accessories,Replacement Parts,Pacific,Fields Sales,68,Won,1,0,0,11742,500K to 1M,1K or less,"25,000 - 50,000",Unknown,0.0,0.0,0.0,10K to 20K
7405835,Car Accessories,Replacement Parts,Pacific,Fields Sales,68,Won,1,0,0,11742,500K to 1M,1K or less,"25,000 - 50,000",Unknown,0.0,0.0,0.0,10K to 20K
7405917,Car Accessories,Replacement Parts,Pacific,Fields Sales,68,Won,1,0,0,57000,100K or less,1K or less,"More than 100,000",Unknown,0.0,0.0,0.0,30K to 40K
7405917,Car Accessories,Replacement Parts,Pacific,Fields Sales,68,Won,1,0,0,57000,100K or less,1K or less,"More than 100,000",Unknown,0.0,0.0,0.0,30K to 40K
7405931,Car Accessories,Replacement Parts,Pacific,Fields Sales,68,Won,1,0,0,25095,100K or less,1K or less,0 (No business),Unknown,0.0,0.0,0.0,20K to 30K
7405931,Car Accessories,Replacement Parts,Pacific,Fields Sales,68,Won,1,0,0,25095,100K or less,1K or less,0 (No business),Unknown,0.0,0.0,0.0,20K to 30K
7500029,Performance & Non-auto,Shelters & RV,Pacific,Fields Sales,49,Loss,3,16,16,0,100K or less,1K or less,0 (No business),Known,0.0,0.135484,0.864516,10K or less
7500029,Performance & Non-auto,Shelters & RV,Pacific,Fields Sales,49,Loss,3,16,16,0,100K or less,1K or less,0 (No business),Known,0.0,0.135484,0.864516,10K or less
7535839,Car Accessories,Batteries & Accessories,Pacific,Reseller,40,Loss,2,24,24,30000,100K or less,1K or less,0 (No business),,0.0,1.0,0.0,20K to 30K
7535839,Car Accessories,Batteries & Accessories,Pacific,Reseller,40,Loss,2,24,24,30000,100K or less,1K or less,0 (No business),,0.0,1.0,0.0,20K to 30K
7591432,Car Accessories,Replacement Parts,Northwest,Other,55,Loss,2,6,6,102409,100K or less,1K or less,0 (No business),Unknown,1.0,0.0,0.0,40K to 50K
7591432,Car Accessories,Replacement Parts,Northwest,Other,55,Loss,2,6,6,102409,100K or less,1K or less,0 (No business),Unknown,1.0,0.0,0.0,40K to 50K
7658131,Car Accessories,Batteries & Accessories,Southwest,Reseller,7,Loss,6,51,51,50000,100K or less,1K or less,0 (No business),Unknown,0.620553,0.379447,0.0,30K to 40K
7658131,Car Accessories,Batteries & Accessories,Southwest,Reseller,7,Loss,6,51,51,50000,100K or less,1K or less,0 (No business),Unknown,0.620553,0.379447,0.0,30K to 40K
7820429,Performance & Non-auto,Motorcycle Parts,Northwest,Reseller,44,Loss,5,8,8,20822,100K or less,1K or less,0 (No business),Known,0.146341,0.853659,0.0,10K to 20K
7820429,Performance & Non-auto,Motorcycle Parts,Northwest,Reseller,44,Loss,5,8,8,20822,100K or less,1K or less,0 (No business),Known,0.146341,0.853659,0.0,10K to 20K
7860326,Car Accessories,Replacement Parts,Pacific,Fields Sales,51,Won,1,0,0,16548,100K or less,1K or less,"More than 100,000",Unknown,0.0,0.0,0.0,10K to 20K
7860326,Car Accessories,Replacement Parts,Pacific,Fields Sales,51,Won,1,0,0,16548,100K or less,1K or less,"More than 100,000",Unknown,0.0,0.0,0.0,10K to 20K
7884410,Car Accessories,Garage & Car Care,Southeast,Reseller,42,Won,4,8,7,5000,100K or less,1K or less,0 (No business),Known,0.0,0.012821,0.858974,10K or less
7884410,Car Accessories,Garage & Car Care,Southeast,Reseller,42,Won,4,8,7,5000,100K or less,1K or less,0 (No business),Known,0.0,0.012821,0.858974,10K or less
7885444,Car Accessories,Interior Accessories,Pacific,Reseller,47,Won,2,3,3,15501,100K or less,1K or less,0 (No business),,0.0,1.0,0.0,10K to 20K
7885444,Car Accessories,Interior Accessories,Pacific,Reseller,47,Won,2,3,3,15501,100K or less,1K or less,0 (No business),,0.0,1.0,0.0,10K to 20K
7902106,Car Accessories,Replacement Parts,Southeast,Fields Sales,29,Won,2,0,0,12500,100K or less,1K or less,"More than 100,000",,0.0,0.0,0.0,10K to 20K
7902106,Car Accessories,Replacement Parts,Southeast,Fields Sales,29,Won,2,0,0,12500,100K or less,1K or less,"More than 100,000",,0.0,0.0,0.0,10K to 20K
7914169,Car Accessories,Replacement Parts,Southeast,Fields Sales,37,Loss,4,12,12,150000,100K or less,1K or less,0 (No business),Unknown,0.0,0.121739,0.878261,40K to 50K
7914169,Car Accessories,Replacement Parts,Southeast,Fields Sales,37,Loss,4,12,12,150000,100K or less,1K or less,0 (No business),Unknown,0.0,0.121739,0.878261,40K to 50K
8026653,Car Accessories,Exterior Accessories,Midwest,Reseller,46,Loss,2,0,0,30000,100K or less,1K or less,0 (No business),Unknown,0.0,0.0,0.0,20K to 30K
8026653,Car Accessories,Exterior Accessories,Midwest,Reseller,46,Loss,2,0,0,30000,100K or less,1K or less,0 (No business),Unknown,0.0,0.0,0.0,20K to 30K
8093335,Car Accessories,Batteries & Accessories,Pacific,Fields Sales,37,Won,2,7,0,12000,100K or less,1K or less,"25,000 - 50,000",Known,0.0,0.0,0.0,10K to 20K
8093335,Car Accessories,Batteries & Accessories,Pacific,Fields Sales,37,Won,2,7,0,12000,100K or less,1K or less,"25,000 - 50,000",Known,0.0,0.0,0.0,10K to 20K
8093335,Car Accessories,Batteries & Accessories,Pacific,Fields Sales,37,Won,2,7,0,12000,100K or less,1K or less,"25,000 - 50,000",Known,0.0,0.0,0.0,10K to 20K
8093335,Car Accessories,Batteries & Accessories,Pacific,Fields Sales,37,Won,2,7,0,12000,100K or less,1K or less,"25,000 - 50,000",Known,0.0,0.0,0.0,10K to 20K
8133081,Performance & Non-auto,Shelters & RV,Pacific,Fields Sales,42,Won,1,0,0,11626,100K or less,1K or less,"More than 100,000",,0.0,0.0,0.0,10K to 20K
8133081,Performance & Non-auto,Shelters & RV,Pacific,Fields Sales,42,Won,1,0,0,11626,100K or less,1K or less,"More than 100,000",,0.0,0.0,0.0,10K to 20K
8133081,Performance & Non-auto,Shelters & RV,Pacific,Fields Sales,42,Won,1,0,0,11626,100K or less,1K or less,"More than 100,000",,0.0,0.0,0.0,10K to 20K
8135025,Car Accessories,Garage & Car Care,Midwest,Reseller,39,Won,3,3,3,4900,100K or less,1K or less,0 (No business),Unknown,0.266667,0.733333,0.0,10K or less
8135025,Car Accessories,Garage & Car Care,Midwest,Reseller,39,Won,3,3,3,4900,100K or less,1K or less,0 (No business),Unknown,0.266667,0.733333,0.0,10K or less
8202220,Car Accessories,Replacement Parts,Pacific,Reseller,26,Loss,3,14,14,7000,100K or less,1K or less,0 (No business),,0.0,0.021429,0.978571,10K or less
8202220,Car Accessories,Replacement Parts,Pacific,Reseller,26,Loss,3,14,14,7000,100K or less,1K or less,0 (No business),,0.0,0.021429,0.978571,10K or less
8306592,Performance & Non-auto,Shelters & RV,Southwest,Reseller,0,Loss,9,34,34,25000,100K or less,1K or less,0 (No business),Unknown,0.0,0.259587,0.740413,20K to 30K
8306592,Performance & Non-auto,Shelters & RV,Southwest,Reseller,0,Loss,9,34,34,25000,100K or less,1K or less,0 (No business),Unknown,0.0,0.259587,0.740413,20K to 30K
8467576,Performance & Non-auto,Performance Parts,Southeast,Reseller,2,Loss,8,12,12,35000,100K or less,1K or less,0 (No business),,0.058333,0.575,0.366667,20K to 30K
8467576,Performance & Non-auto,Performance Parts,Southeast,Reseller,2,Loss,8,12,12,35000,100K or less,1K or less,0 (No business),,0.058333,0.575,0.366667,20K to 30K
8531084,Performance & Non-auto,Shelters & RV,Midwest,Reseller,7,Loss,3,20,20,2300,100K or less,1K or less,0 (No business),,0.0,1.0,0.0,10K or less
8531084,Performance & Non-auto,Shelters & RV,Midwest,Reseller,7,Loss,3,20,20,2300,100K or less,1K or less,0 (No business),,0.0,1.0,0.0,10K or less
9361151,Car Accessories,Replacement Parts,Southeast,Fields Sales,16,Won,2,10,10,14000,100K or less,1K or less,"25,000 - 50,000",Unknown,0.0,0.0,1.0,10K to 20K
9361151,Car Accessories,Replacement Parts,Southeast,Fields Sales,16,Won,2,10,10,14000,100K or less,1K or less,"25,000 - 50,000",Unknown,0.0,0.0,1.0,10K to 20K
9410895,Performance & Non-auto,Shelters & RV,Northeast,Fields Sales,24,Loss,3,1,1,50000,100K or less,1K or less,0 (No business),Unknown,0.571429,0.0,0.428571,30K to 40K
9410895,Performance & Non-auto,Shelters & RV,Northeast,Fields Sales,24,Loss,3,1,1,50000,100K or less,1K or less,0 (No business),Unknown,0.571429,0.0,0.428571,30K to 40K
9573694,Car Accessories,Replacement Parts,Southeast,Fields Sales,13,Won,2,5,5,7000,100K or less,1K or less,"0 - 25,000",Unknown,0.0,0.0,1.0,10K or less
9573694,Car Accessories,Replacement Parts,Southeast,Fields Sales,13,Won,2,5,5,7000,100K or less,1K or less,"0 - 25,000",Unknown,0.0,0.0,1.0,10K or less
9627317,Performance & Non-auto,Motorcycle Parts,Midwest,Reseller,12,Won,2,5,5,25000,100K or less,1K or less,0 (No business),Unknown,0.0,1.0,0.0,20K to 30K
9627317,Performance & Non-auto,Motorcycle Parts,Midwest,Reseller,12,Won,2,5,5,25000,100K or less,1K or less,0 (No business),Unknown,0.0,1.0,0.0,20K to 30K
9690002,Car Accessories,Replacement Parts,Southeast,Fields Sales,11,Won,2,3,3,9000,100K or less,1K or less,"25,000 - 50,000",Unknown,0.0,0.0,1.0,10K or less
9690002,Car Accessories,Replacement Parts,Southeast,Fields Sales,11,Won,2,3,3,9000,100K or less,1K or less,"25,000 - 50,000",Unknown,0.0,0.0,1.0,10K or less
9877355,Car Accessories,Garage & Car Care,Midwest,Reseller,5,Won,2,4,4,1248,100K or less,1K or less,0 (No business),Known,1.0,0.0,0.0,10K or less
9877355,Car Accessories,Garage & Car Care,Midwest,Reseller,5,Won,2,4,4,1248,100K or less,1K or less,0 (No business),Known,1.0,0.0,0.0,10K or less
